ID,ITEM CODE,ITEM DESC,Prefix,Box Amount,Start,END,PCS,箱规(mm),净重,毛重/箱（KG)
1,AP-MB-6-PINK,MACARON BOX ,A,11,1,11,500,603*312*165,13.51,14.56
2,AP-MB-6-RED,MACARON BOX ,A,19,12,30,600,603*312*165,14.75,15.8
3,AP-MB-6-BLUE,MACARON BOX ,C,30,1,30,1000,603*312*165,13.37,14.42
4,AP-CCB-R-O, RECTANGLE CARRY BOX,D,30,1,30,200,415*415*173,11.06,12.11
5,AP-CCB-M-O,AP CARRY CAKE BOX -M-6 ,E,30,1,30,100,415*415*173,13.8,14.85
6,AP-CCB-SINGLE-PINK,AP CAKE BOX  Single,F,30,1,30,3000,380*297*265,14.65,15.7
7,ONE65-PB-L,ONE65 Paper bag Large,G,30,1,30,400,380*297*265,13.35,14.4
8,ONE65-PB-S,ONE65 Paper bag Small,H,30,1,30,800,405*45*610,9.2,10.25
9,ONE65-PB-XL 25*30*30INCH,ONE65 Paper bag X Large,H,102,79,180,100,63*34*30,19.6,20.8
0,1,2,3,4,5,6,7,8,9,10
,,"H-79,01/102",,,,,,,,
